k8s_raupi2_3_,6,k8s,raupi2,"[366, 268, 362, 366, 334, 319, 335, 361, 305, 326, 300, 330, 407, 316, 347, 355, 380, 410]",410,344,268,"[3883, 3834, 3749, 3933, 3914, 3988, 4111, 4178, 4136, 4101, 4165, 4127, 3901, 3708, 3890, 3915, 3672, 3844]",4178,3947,3672,"[66.25659934825528, 65.87028593325738, 66.35371382109746, 66.76718962865434, 66.46326620701457, 66.25712196123696, 67.37914076507099, 67.32142247334039, 67.51596354631951, 67.48712938430948, 67.42214632192203, 67.44772949095743, 65.6349973450511, 65.43146781651325, 65.88689609026694, 66.86969452103712, 67.13402413562174, 66.78619295130554]",67.52,66.68,65.43,"[83, 43, 197, 44, 23, 219]",219,102,23,"cpu=70 pods=3 treads=25 sc_min=14 warmup=90"
asg_raupi_3,20,asg,raupi,"[355, 281, 324, 234, 275, 256, 30, 304, 224, 272, 256, 297, 298, 340, 323, 248, 292, 335, 271, 336, 257, 296, 217, 258, 647, 693, 738, 743, 476, 699, 727, 641, 624, 640, 624, 666, 657, 630, 611, 759, 443, 665, 666, 710, 628, 729, 701, 684, 644, 689, 672, 604, 636, 620, 639, 383, 668, 659, 699, 681]",759,500,30,"[3056, 2905, 3028, 2820, 2746, 2782, 3129, 3063, 3218, 2816, 2869, 2913, 2928, 2947, 2997, 2918, 3009, 3045, 3039, 2980, 3011, 2965, 3056, 3023, 2801, 2755, 2819, 2925, 2810, 2932, 2962, 2888, 2923, 2942, 2932, 2966, 2790, 2711, 2815, 2884, 2871, 2873, 2903, 2830, 2827, 3035, 3021, 2936, 3062, 3046, 2983, 3012, 3045, 2990, 2936, 2802, 2938, 3017, 2991, 3124]",3218,2939,2711,"[83.10235780397507, 80.33479934963933, 82.57164060761743, 82.7374341568412, 83.71558309450496, 84.9857346568172, 82.78458314546582, 83.5495516219871, 83.42514079812679, 79.22981172772738, 82.13594792104236, 82.99457181156872, 81.27194070345615, 82.2705222832696, 82.90669997054766, 84.63288165985632, 85.85625639153155, 85.009483148725, 83.62130218670512, 81.47353594903822, 84.32668420751203, 82.6404932996641, 82.91394308825448, 85.1562905328048, 81.49861576795239, 84.02211423102482, 80.77860559127043, 84.37602911651433, 83.71359734997789, 85.4540600930756, 79.47145555577605, 81.13465040215577, 79.68042415193085, 82.16771181299043, 82.0477229307549, 82.43555980573957, 83.24588930613781, 84.03345191037697, 77.38709136501733, 82.21403049439174, 82.2844773814421, 82.93318845946827, 80.6039521027426, 81.23651338156164, 81.43040210024806, 82.72327851753066, 80.80057690546175, 81.470390321344, 81.45999558308722, 82.76355391039995, 84.11400566258494, 82.72775835091407, 80.73019081845803, 84.2684234489332, 79.49268938799595, 88.65910107019876, 89.07403456695795, 86.62407328095003, 83.94537560851153, 83.81773947107581]",89.07,82.81,77.39,"[1008, 1502, 1417, 1213, 1002, 1316, 1214, 1431, 1321, 1108, 1215, 1216, 1616, 1413, 1710, 1312, 1014, 1449, 1312, 1222]",1710,1301,1002,"cpu=70 pods=NA treads=25 sc_min=14 warmup=90"
k8s_taewa_6_,2,k8s,taewa,"[712, 529, 710, 743, 676, 742]",743,686,529,"[9923, 11522, 9722, 9734, 9909, 8859]",11522,9945,8859,"[99.01184246853906, 95.46372190134798, 98.71369765070993, 85.08145234572511, 79.48402287188864, 93.42840716339067]",99.01,91.86,79.48,"[136, 346]",346,241,136,"cpu=70 pods=12 treads=25 sc_min=25 warmup=90"
asg_taewa_6_,2,asg,taewa,"[1323, 1122, 1342, 1377, 1416, 1154]",1416,1289,1122,"[10082, 10103, 10058, 9470, 9450, 9484]",10103,9774,9450,"[51.64423936232995, 55.45315199870905, 55.42064273796131, 51.86701519677556, 55.59899138337146, 51.71519155886133]",55.60,53.62,51.64,"[2021, 1729]",2021,1875,1729,"cpu=35 pods=NA treads=25 sc_min=25 warmup=90"
asg_riwai_3_,7,asg,riwai,"[615, 780, 404, 595, 640, 566, 661, 645, 390, 656, 640, 686, 581, 626, 732, 620, 605, 649, 649, 633, 618]",780,619,390,"[4743, 4702, 4716, 4880, 4875, 4881, 4809, 4828, 4726, 4745, 4705, 4733, 4178, 4161, 4159, 4817, 4833, 4800, 4813, 4787, 4736]",4881,4696,4159,"[51.819547370559796, 51.18104880561992, 51.658170243382266, 52.46499104718353, 52.44400059109662, 52.202045397667725, 52.63240879150027, 52.26736605113408, 52.30968875718336, 51.95187489976244, 51.97290014441213, 52.181649768574346, 52.156655451007396, 52.50960927425285, 52.09297708733021, 52.100252768818116, 51.9810311074019, 52.67472544477408, 51.63358809169733, 51.39564363032599, 51.32959843344068]",52.67,52.05,51.18,"[1217, 1314, 1319, 1318, 1013, 1126, 1117]",1319,1203,1013,"cpu=35 pods=NA treads=25 sc_min=14 warmup=90"
k8s_riwai_3_,5,k8s,riwai,"[394, 347, 482, 299, 352, 314, 307, 331, 328, 358, 385, 408, 318, 320, 371]",482,354,299,"[5217, 5062, 4624, 5626, 5391, 5590, 5197, 5307, 5437, 5451, 5468, 5127, 5279, 5430, 5329]",5626,5302,4624,"[97.42033539063318, 90.34357784760891, 97.13358435033483, 99.8792241122281, 99.6603062545912, 99.81244088677074, 98.80095525407732, 98.09895363056314, 99.25168897223183, 98.3238529740374, 98.7068260693206, 99.36984265160119, 99.65667098301924, 99.31459327642106, 98.8771686746831]",99.88,98.31,90.34,"[382, 250, 180, 139, 40]",382,198,40,"cpu=70 pods=6 treads=25 sc_min=14 warmup=90"
k8s_taewa2_3_,13,k8s,taewa2,"[384, 296, 368, 377, 386, 402, 397, 373, 322, 251, 389, 351, 407, 371, 322, 388, 409, 423, 328, 292, 335, 344, 338, 358, 359, 374, 412, 345, 363, 385, 344, 381, 320, 331, 467, 353, 392]",467,363,251,"[5643, 5616, 5624, 4769, 4819, 4823, 4932, 4907, 4985, 4145, 4113, 4139, 5742, 5760, 5427, 4805, 4773, 4700, 4876, 4941, 4804, 5502, 5775, 5799, 5668, 5629, 5554, 4773, 4792, 4828, 5607, 5587, 5535, 5662, 5643, 5629, 5775, 5600, 5818]",5818,5218,4113,"[57.176054111407076, 57.0950059152186, 56.3234384515944, 56.60566083527107, 54.688564274015874, 57.145518147695526, 56.57173085142341, 56.52722305390557, 55.70194417244437, 55.26976971309913, 56.09474177667406, 55.842116523431514, 56.54966027899428, 56.35073624303296, 56.9575711958762, 56.564419933437215, 55.064916135648936, 55.94096394580992, 55.70163731986494, 55.54967177890247, 55.80228943991255, 56.86492199958042, 55.72827678265845, 56.178459227452656, 55.89919533049612, 55.764004019317724, 57.09839329467024, 56.39953599543042, 56.67150802174671, 56.59992744395563, 57.12795328367645, 57.25482361402397, 57.7860072752735, 57.00853022972628, 56.06533697171832, 56.208127489238656, 56.7591613104533, 56.62912406049406, 56.48831263912769]",57.79,56.36,54.69,"[100, 235, 146, 254, 120, 125, 14, 221, 76, 39, 376, 338, 121]",376,167,14,"cpu=70 pods=3 treads=25 sc_min=14 warmup=90"
k8s_apache2_3new,2,k8s,apache2,"[262, 335, 365, 280, 301, 384]",384,321,262,"[26668, 26662, 26733, 26025, 26216, 26313]",26733,26436,26025,"[98.67871175048941, 98.43362775978336, 97.37716755494888, 97.26521126547554, 97.7322595498029, 97.65353551952694]",98.68,97.86,97.27,"[71, 24]",71,48,24,"cpu=64 pods=3 treads=70 sc_min=14 warmup=130"
k8s_apache2_3_,9,k8s,apache2,"[533, 422, 266, 337, 292, 276, 392, 298, 248, 306, 323, 287, 341, 414, 353, 277, 421, 308, 335, 334, 278, 294, 315, 327, 305, 262]",533,329,248,"[26370, 26654, 26644, 26508, 26223, 26386, 26244, 26356, 26342, 25575, 25547, 26078, 25946, 26074, 26150, 26291, 26351, 26335, 25532, 25807, 25877, 26097, 26324, 26323, 26004, 25861, 25914]",26654,26141,25532,"[98.21546866277818, 97.85941948220609, 98.38514185650074, 98.58765825052092, 98.99970336298321, 98.62482072679076, 98.18147848519584, 98.49015141249743, 98.49456185510974, 99.14727083132072, 99.05840267284502, 98.85965571789461, 96.83950197788234, 97.12381462968303, 97.4391570619692, 97.1460339830461, 98.21493948115385, 98.24511097546333, 96.31678420157526, 97.31105406875857, 96.5280107536422, 98.38246818398868, 98.12388881150186, 97.8766072610044, 97.87581673116016, 96.56844605000941, 97.21347616661016]",99.15,97.93,96.32,"[30, 52, 51, 47, 69, 20, 58, 35, 31]",69,44,20,"cpu=70 pods=3 treads=70 sc_min=14 warmup=130"
asg_raupi_3_70_,12,asg,raupi,"[647, 693, 738, 743, 476, 699, 727, 641, 624, 640, 624, 666, 657, 630, 611, 759, 443, 665, 666, 710, 628, 729, 701, 684, 644, 689, 672, 604, 636, 620, 639, 383, 668, 659, 699, 681]",759,650,383,"[2801, 2755, 2819, 2925, 2810, 2932, 2962, 2888, 2923, 2942, 2932, 2966, 2790, 2711, 2815, 2884, 2871, 2873, 2903, 2830, 2827, 3035, 3021, 2936, 3062, 3046, 2983, 3012, 3045, 2990, 2936, 2802, 2938, 3017, 2991, 3124]",3124,2919,2711,"[81.49861576795239, 84.02211423102482, 80.77860559127043, 84.37602911651433, 83.71359734997789, 85.4540600930756, 79.47145555577605, 81.13465040215577, 79.68042415193085, 82.16771181299043, 82.0477229307549, 82.43555980573957, 83.24588930613781, 84.03345191037697, 77.38709136501733, 82.21403049439174, 82.2844773814421, 82.93318845946827, 80.6039521027426, 81.23651338156164, 81.43040210024806, 82.72327851753066, 80.80057690546175, 81.470390321344, 81.45999558308722, 82.76355391039995, 84.11400566258494, 82.72775835091407, 80.73019081845803, 84.2684234489332, 79.49268938799595, 88.65910107019876, 89.07403456695795, 86.62407328095003, 83.94537560851153, 83.81773947107581]",89.07,82.63,77.39,"[1321, 1108, 1215, 1216, 1616, 1413, 1710, 1312, 1014, 1449, 1312, 1222]",1710,1326,1014,"cpu=70 pods=NA treads=25 sc_min=14 warmup=90"
